pm25,pm10,no2,o3,so2,co,temp,rhum,wspd,pres,coco,pm25_AQI,pm10_AQI,no2_AQI,o3_AQI,so2_AQI,overall_AQI
58.03421,110.05556,13.5855,52.262104,11.142777,771.0526,34.4,53.0,14.8,1006.3,2.0,5.0,5.0,1.0,2.0,1.0,5.0
58.12258,119.76464,13.946207,46.12931,12.405385,776.62415,36.5,47.0,11.2,1006.5,2.0,5.0,5.0,1.0,1.0,1.0,5.0
58.029293,117.268555,13.009876,50.262165,11.643125,744.78455,36.4,46.0,13.0,1006.1,2.0,5.0,5.0,1.0,1.0,1.0,5.0
57.566273,120.59677,13.470699,56.49715,12.205358,787.1724,37.2,43.0,11.1,1005.6,2.0,5.0,5.0,1.0,2.0,1.0,5.0
52.736923,117.96778,10.979615,43.265,9.713333,882.0833,27.3,66.0,13.0,1008.3,2.0,5.0,5.0,1.0,1.0,1.0,5.0
50.907776,98.12125,8.47,48.36125,11.72,414.375,37.3,45.0,13.0,1004.2,3.0,1.0,4.0,1.0,1.0,1.0,4.0
86.0,146.0,12.2436495,16.1,11.4716625,729.3487,36.6,47.0,11.1,1003.8,3.0,6.0,5.0,1.0,1.0,1.0,6.0
52.86,435.19,15.25,78.3575,4.9666667,492.5,31.0,47.0,11.2,1004.9,3.0,5.0,6.0,1.0,2.0,1.0,6.0
17.0,158.12057,12.673128,48.904312,10.542377,695.5131,34.7,52.0,9.3,1004.2,3.0,2.0,6.0,1.0,1.0,1.0,6.0
21.756,40.005714,11.233636,74.49778,6.411,626.36365,33.5,55.0,9.3,1005.1,2.0,3.0,1.0,1.0,2.0,1.0,3.0
16.970741,51.425777,15.214908,69.339584,8.5778885,566.96075,26.1,65.0,7.6,1007.5,2.0,2.0,4.0,1.0,2.0,1.0,4.0
14.782272,35.576843,15.825682,68.597046,11.4315,687.7682,30.0,59.0,9.3,1007.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
11.935469,39.336666,13.225,72.317665,12.580173,623.7091,29.7,61.0,7.4,1007.2,2.0,2.0,2.0,1.0,2.0,1.0,2.0
11.511613,29.341852,15.363621,67.965,12.76625,746.60345,25.5,65.0,7.6,1007.1,2.0,2.0,2.0,1.0,2.0,1.0,2.0
16.117222,36.880535,19.800459,62.383736,11.5504,645.5569,29.0,65.0,7.4,1007.3,2.0,2.0,2.0,1.0,2.0,1.0,2.0
33.814472,57.683437,24.195263,40.84611,9.886,974.4737,28.5,68.0,7.4,1007.1,2.0,4.0,4.0,1.0,1.0,1.0,4.0
31.998417,58.589214,23.607084,50.517548,8.732778,918.5965,24.3,68.0,7.6,1007.4,2.0,4.0,4.0,1.0,1.0,1.0,4.0
26.161072,42.0185,18.032692,37.87625,7.92,1019.5833,24.3,72.0,7.4,1007.8,2.0,4.0,3.0,1.0,1.0,1.0,4.0
